Name,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
David Raya,es ESP,GK,28,38,38,3420,0,0,0,3,0,0,0,Arsenal
William Saliba,fr FRA,DF,23,35,35,3039,2,0,0,2,1,2.3,0.9,Arsenal
Declan Rice,eng ENG,MF,25,35,33,2825,4,7,0,7,1,3.5,6.6,Arsenal
Thomas Partey,gh GHA,"MF,DF",31,35,31,2797,4,2,0,4,0,2.3,2.1,Arsenal
Leandro Trossard,be BEL,FW,29,38,28,2546,8,7,0,4,1,7.2,6.1,Arsenal
Gabriel Magalhães,br BRA,DF,26,28,28,2363,3,1,0,4,0,2.6,0.9,Arsenal
Jurriën Timber,nl NED,DF,23,30,27,2417,1,3,0,7,0,1.2,0.8,Arsenal
Martin Ødegaard,no NOR,MF,25,30,26,2325,3,8,1,4,0,4.8,5.4,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",23,33,25,2290,8,4,0,1,0,7.4,5,Arsenal
Kai Havertz,de GER,"FW,MF",25,23,21,1875,9,3,0,5,0,9.5,2.4,Arsenal
Bukayo Saka,eng ENG,"FW,MF",22,25,20,1729,6,10,1,3,0,6.8,7.6,Arsenal
Mikel Merino,es ESP,"MF,FW",28,28,17,1586,7,2,0,4,1,5.9,2,Arsenal
Myles Lewis-Skelly,eng ENG,DF,17,23,15,1369,1,0,0,3,2,0.2,0.4,Arsenal
Ben White,eng ENG,DF,26,17,13,1198,0,2,0,2,0,0.5,1.4,Arsenal
Riccardo Calafiori,it ITA,DF,22,19,11,983,2,1,0,4,0,0.9,0.3,Arsenal
Ethan Nwaneri,eng ENG,"FW,MF",17,26,11,895,4,2,0,1,0,1.2,1.2,Arsenal
Jakub Kiwior,pl POL,DF,24,17,10,1122,1,0,0,1,0,0.2,0.3,Arsenal
Jorginho,it ITA,MF,32,15,9,704,0,0,0,5,0,0.1,0.4,Arsenal
Raheem Sterling,eng ENG,"FW,MF",29,17,7,499,0,2,0,1,0,1.4,0.5,Arsenal
Gabriel Jesus,br BRA,FW,27,17,6,608,3,0,0,4,0,3,0.7,Arsenal
Oleksandr Zinchenko,ua UKR,"DF,MF",27,15,5,527,0,1,0,1,0,0.6,0.2,Arsenal
Kieran Tierney,sct SCO,"DF,FW",27,13,2,259,1,0,0,0,0,0.4,1.4,Arsenal
Nathan Butler-Oyedeji,eng ENG,FW,21,1,0,7,0,0,0,0,0,0.1,0,Arsenal
Takehiro Tomiyasu,jp JPN,DF,25,1,0,7,0,0,0,0,0,0.2,0,Arsenal
Reiss Nelson,eng ENG,FW,24,1,0,3,0,0,0,0,0,0,0,Arsenal
Brayden Clarke,wls WAL,DF,17,0,0,,,,,,,,,Arsenal
Jimi Gower,eng ENG,MF,19,0,0,,,,,,,,,Arsenal
Ayden Heaven,eng ENG,DF,17,0,0,,,,,,,,,Arsenal
Jack Henry-Francis,ie IRL,MF,20,0,0,,,,,,,,,Arsenal
Ismeal Kabia,eng ENG,MF,18,0,0,,,,,,,,,Arsenal
Maldini Kacurri,al ALB,DF,18,0,0,,,,,,,,,Arsenal
Neto,br BRA,GK,35,0,0,,,,,,,,,Arsenal
Josh Nichols,eng ENG,DF,18,0,0,,,,,,,,,Arsenal
Eddie Nketiah,eng ENG,FW,25,0,0,,,,,,,,,Arsenal
Salah Oulad M'Hand,nl NED,MF,20,0,0,,,,,,,,,Arsenal
Jack Porter,eng ENG,GK,16,0,0,,,,,,,,,Arsenal
Aaron Ramsdale,eng ENG,GK,26,0,0,,,,,,,,,Arsenal
Tommy Setford,eng ENG,GK,18,0,0,,,,,,,,,Arsenal
Emiliano Martínez,ar ARG,GK,31,37,37,3194,0,0,0,5,1,0,0.5,Aston-Villa
Morgan Rogers,eng ENG,"FW,MF",22,37,37,3114,8,10,0,10,0,6.6,7.8,Aston-Villa
Youri Tielemans,be BEL,MF,27,36,35,3026,3,7,0,4,0,3.3,7,Aston-Villa
Ezri Konsa,eng ENG,DF,26,34,33,2936,2,0,0,1,0,1.3,0.4,Aston-Villa
Ollie Watkins,eng ENG,FW,28,38,31,2598,16,8,2,2,0,15.3,3.3,Aston-Villa
Lucas Digne,fr FRA,DF,31,32,28,2351,0,4,0,4,0,0.8,4.7,Aston-Villa
John McGinn,sct SCO,"MF,FW",29,34,27,2223,1,4,0,7,0,3.1,3.5,Aston-Villa
Matty Cash,pl POL,DF,26,27,24,2070,1,1,0,7,0,0.5,1.1,Aston-Villa
Pau Torres,es ESP,DF,27,24,23,2020,0,0,0,2,0,0.5,0.1,Aston-Villa
Boubacar Kamara,fr FRA,MF,24,26,20,1726,1,0,0,2,0,0.8,0.9,Aston-Villa
Amadou Onana,be BEL,MF,22,26,20,1617,3,0,0,4,0,2.1,0.7,Aston-Villa
Jacob Ramsey,eng ENG,"FW,MF",23,29,19,1623,1,3,0,4,1,1.6,2.3,Aston-Villa
Leon Bailey,jm JAM,"FW,MF",26,24,14,1139,1,2,0,3,0,1.7,1.5,Aston-Villa
Tyrone Mings,eng ENG,DF,31,14,12,1120,0,0,0,1,0,0.8,0.2,Aston-Villa
Ian Maatsen,nl NED,DF,22,29,10,1139,1,2,0,2,0,0.9,2.7,Aston-Villa
Marco Asensio,es ESP,MF,28,13,9,743,3,1,0,2,0,4.4,1,Aston-Villa
Diego Carlos,br BRA,DF,31,10,8,830,0,0,0,1,0,0.6,0,Aston-Villa
Axel Disasi,fr FRA,DF,26,7,5,490,0,0,0,2,0,0.1,0.4,Aston-Villa
Lamare Bogarde,nl NED,"DF,MF",20,8,5,476,0,0,0,2,0,0,0.1,Aston-Villa
Andrés García,es ESP,"DF,MF",21,7,5,318,0,0,0,0,0,0,0.2,Aston-Villa
Jáder Durán,co COL,FW,20,20,4,638,7,0,0,3,1,4.9,0.2,Aston-Villa
Marcus Rashford,eng ENG,FW,26,10,4,444,2,2,1,0,0,3.1,2.3,Aston-Villa
Ross Barkley,eng ENG,MF,30,20,3,581,3,1,0,3,0,1.8,0.6,Aston-Villa
Jaden Philogene Bidace,eng ENG,"FW,MF",22,11,2,332,0,0,0,4,1,0.5,0.3,Aston-Villa
Donyell Malen,nl NED,FW,25,14,2,305,3,0,0,0,0,2.2,0.2,Aston-Villa
Robin Olsen,se SWE,GK,34,4,1,226,0,0,0,0,0,0,0,Aston-Villa
Kosta Nedeljković,rs SRB,DF,18,5,0,126,0,0,0,0,0,0,0,Aston-Villa
Emi Buendía,ar ARG,"MF,FW",27,12,0,98,0,0,0,1,0,0.7,0,Aston-Villa
Benjamin Broggio,eng ENG,FW,17,0,0,,,,,,,,,Aston-Villa
Joe Gauci,au AUS,GK,24,0,0,,,,,,,,,Aston-Villa
Jamaldeen Jimoh,eng ENG,MF,17,0,0,,,,,,,,,Aston-Villa
Sil Swinkels,nl NED,DF,20,0,0,,,,,,,,,Aston-Villa
Kadan Young,eng ENG,MF,18,0,0,,,,,,,,,Aston-Villa
Oliwier Zych,pl POL,GK,20,0,0,,,,,,,,,Aston-Villa
Milos Kerkez,hu HUN,DF,20,38,38,3336,2,5,0,4,0,0.6,3.9,Bournemouth
Antoine Semenyo,gh GHA,FW,24,37,36,3203,11,5,0,9,0,10,5.8,Bournemouth
Illia Zabarnyi,ua UKR,DF,21,36,35,3109,0,1,0,4,1,1.3,0.7,Bournemouth
Lewis Cook,eng ENG,"MF,DF",27,36,32,2978,1,3,0,8,1,0.9,4.1,Bournemouth
Kepa Arrizabalaga,es ESP,GK,29,31,31,2790,0,0,0,3,0,0.1,0,Bournemouth
Justin Kluivert,nl NED,MF,25,34,29,2340,12,6,6,8,0,10.3,4.8,Bournemouth
Evanilson,br BRA,FW,24,31,28,2319,10,1,0,1,1,12.5,1.9,Bournemouth
Ryan Christie,sct SCO,MF,29,29,27,2117,2,3,0,9,0,1.8,3.5,Bournemouth
Dean Huijsen,es ESP,DF,19,32,26,2427,3,2,0,10,0,1.9,2,Bournemouth
Dango Ouattara,bf BFA,FW,22,32,21,2005,7,4,0,3,0,8.4,5.5,Bournemouth
Tyler Adams,us USA,MF,25,28,21,1965,0,3,0,7,0,1.6,1,Bournemouth
Marcus Tavernier,eng ENG,"FW,MF",25,29,20,1939,3,5,0,6,0,5.5,4,Bournemouth
Adam Smith,eng ENG,DF,33,25,19,1590,0,0,0,7,0,0.7,0.4,Bournemouth
Marcos Senesi,ar ARG,DF,27,17,13,1106,0,0,0,5,0,0.8,0.2,Bournemouth
David Brooks,wls WAL,"FW,MF",27,29,9,960,2,0,0,3,0,2.5,1.9,Bournemouth
Alex Scott,eng ENG,MF,20,20,8,755,0,0,0,3,0,0.7,0.9,Bournemouth
Julian Araujo,mx MEX,DF,22,12,7,497,0,0,0,2,0,0,0.1,Bournemouth
